127.0.0.1, 2016-12-21 21:52:05, GET, /admin/default/site, HTTP/1.1, 303, 0.018000
127.0.0.1, 2016-12-21 21:52:05, GET, /admin/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-12-21 21:52:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-21 21:53:26, POST, /admin/default/index, HTTP/1.1, 303, 0.038000
127.0.0.1, 2016-12-21 21:53:26, GET, /admin/default/site, HTTP/1.1, 200, 0.223000
127.0.0.1, 2016-12-21 21:53:26, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-21 21:53:26, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-12-21 21:53:26, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-12-21 21:53:33, GET, /admin/default/site, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-12-21 21:53:36, GET, /admin/default/site, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-12-21 21:53:37, POST, /admin/default/check_version, HTTP/1.1, 200, 10.744000
127.0.0.1, 2016-12-21 21:53:41, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.037000
127.0.0.1, 2016-12-21 21:53:41, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-12-21 21:53:44, GET, /admin/default/change_password, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-12-21 21:53:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:53:48, GET, /admin/default/logout, HTTP/1.1, 303, 0.042000
127.0.0.1, 2016-12-21 21:53:48, GET, /admin/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-12-21 21:53:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:53:50, GET, /admin/default/site, HTTP/1.1, 303, 0.028000
127.0.0.1, 2016-12-21 21:53:50, GET, /admin/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-12-21 21:53:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:53:50, GET, /admin/default/site, HTTP/1.1, 303, 0.010000
127.0.0.1, 2016-12-21 21:53:50, GET, /admin/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-12-21 21:53:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-21 21:53:50, GET, /admin/default/site, HTTP/1.1, 303, 0.010000
127.0.0.1, 2016-12-21 21:53:50, GET, /admin/default/index, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-12-21 21:53:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-21 22:33:14, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-12-21 22:33:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.202000
127.0.0.1, 2016-12-21 22:33:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-21 22:33:14, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005000
